Year,Country,Region,Gaming_Revenue_BillionUSD,Esports_Revenue_MillionUSD,Active_Players_Million,Esports_Viewers_Million,Avg_Spending_USD,Top_Genre,Top_Platform,Esports_Tournaments_Count,Pro_Players_Count,Internet_Penetration_Percent,Avg_Latency_ms,AR_VR_Adoption_Index,Streaming_Influence_Index,Covid_Impact_Index,Female_Gamer_Percent,Mobile_Gaming_Share,Esports_PrizePool_MillionUSD,Gaming_Companies_Count
2022,India,Asia,30.35,2431.5,36.7,76.9,66.0,Sports,Mobile,98,8820,80.1,69.5,0.66,0.82,0.0,29.4,56.0,15.9,434
2023,India,Asia,33.92,2664.1,26.9,54.7,124.7,Sports,PC,89,17622,77.0,33.6,0.8,0.88,0.0,31.9,59.0,14.8,210
2024,India,Asia,37.93,5041.5,53.0,140.1,92.1,Sports,Mobile,51,11067,84.8,70.1,0.83,0.94,0.0,34.6,62.0,11.7,35
2025,India,Asia,42.4,6140.0,27.8,85.6,106.8,Sports,Mobile,59,14632,85.4,97.8,0.88,1.0,0.0,34.3,65.0,10.8,203
2010,Indonesia,Asia,4.8,241.5,4.3,11.7,138.9,FPS,PC,87,15051,71.3,71.7,0.15,0.1,0.0,9.6,20.0,23.3,151
2011,Indonesia,Asia,5.5,388.6,32.0,48.3,30.9,Sports,PC,66,12210,65.2,85.2,0.02,0.16,0.0,13.2,23.0,10.5,442
2012,Indonesia,Asia,6.29,342.5,18.1,56.8,64.1,RPG,Console,21,2877,75.9,27.2,0.08,0.22,0.0,10.6,26.0,5.9,201
2013,Indonesia,Asia,7.2,644.1,26.5,61.5,138.9,FPS,PC,113,6893,82.3,96.6,0.08,0.28,0.0,13.7,29.0,36.0,462
2014,Indonesia,Asia,8.24,977.9,8.6,19.6,84.7,Sports,PC,86,23908,53.2,31.0,0.11,0.34,0.0,15.4,32.0,15.5,152
2015,Indonesia,Asia,9.43,1081.1,39.5,129.4,101.8,FPS,PC,18,4662,56.9,37.9,0.07,0.4,0.0,21.3,35.0,3.3,463
2016,Indonesia,Asia,10.8,693.3,2.7,6.3,65.4,MOBA,PC,69,7176,55.5,66.9,0.18,0.46,0.0,18.5,38.0,20.3,232
2017,Indonesia,Asia,12.36,701.2,24.5,78.4,78.5,MOBA,Mobile,49,8232,70.1,84.9,0.33,0.52,0.0,21.4,41.0,14.0,460
2018,Indonesia,Asia,14.14,1781.3,7.7,25.4,31.5,FPS,Console,61,10187,73.0,37.4,0.45,0.58,0.0,20.6,44.0,19.9,16
2019,Indonesia,Asia,16.19,850.7,39.5,109.4,70.9,FPS,PC,99,26532,80.5,70.4,0.37,0.64,0.0,24.1,47.0,25.0,427
2020,Indonesia,Asia,18.53,1121.6,11.7,40.3,57.4,Strategy,Mobile,92,21712,51.8,27.3,0.58,1.24,0.54,30.7,50.0,26.0,457
2021,Indonesia,Asia,21.21,1372.4,30.3,53.3,130.3,RPG,Console,41,8979,70.0,99.6,0.5,1.13,0.37,26.5,53.0,10.0,210
2022,Indonesia,Asia,24.28,2149.6,21.7,56.2,48.5,Strategy,Console,53,10070,87.7,51.7,0.65,0.82,0.0,30.9,56.0,15.1,363
2023,Indonesia,Asia,27.79,1549.4,21.9,44.6,146.0,Sports,Console,107,12519,56.3,58.3,0.7,0.88,0.0,30.4,59.0,25.3,120
2024,Indonesia,Asia,31.8,4078.3,44.6,93.7,69.1,Strategy,PC,28,8372,71.4,65.7,0.79,0.94,0.0,34.5,62.0,7.4,156
2025,Indonesia,Asia,36.4,4000.9,22.5,54.4,34.6,FPS,PC,15,4200,89.5,95.8,0.91,1.0,0.0,33.0,65.0,2.7,26
2010,Russia,Europe,14.29,1417.2,19.5,48.5,92.7,RPG,Console,66,17490,91.3,52.2,0.11,0.1,0.0,9.3,20.0,17.2,474
2011,Russia,Europe,16.47,2082.4,35.3,120.3,54.1,FPS,PC,77,9317,88.1,92.0,0.16,0.16,0.0,11.0,23.0,28.0,156
2012,Russia,Europe,18.98,1007.5,58.3,113.3,118.1,RPG,Console,118,32214,81.2,35.1,0.04,0.22,0.0,11.6,26.0,45.1,135
2013,Russia,Europe,21.88,1823.2,44.5,113.8,125.2,MOBA,PC,39,2652,54.0,25.2,0.15,0.28,0.0,16.0,29.0,7.8,76
2014,Russia,Europe,25.21,3127.7,10.3,30.9,122.3,RPG,Mobile,77,13552,54.7,54.9,0.14,0.34,0.0,17.7,32.0,28.6,299
2015,Russia,Europe,29.06,2636.2,5.8,12.8,43.3,MOBA,PC,64,16256,93.0,64.2,0.09,0.4,0.0,16.8,35.0,24.8,25
2016,Russia,Europe,33.5,4495.3,16.0,39.4,47.4,Sports,Mobile,94,5828,62.6,85.3,0.14,0.46,0.0,20.7,38.0,29.8,471
2017,Russia,Europe,38.61,2015.3,35.8,114.1,95.9,RPG,PC,34,7820,68.7,82.0,0.24,0.52,0.0,20.3,41.0,5.4,40
2018,Russia,Europe,44.5,4224.3,36.0,98.9,38.6,Sports,Mobile,36,5868,87.0,85.3,0.34,0.58,0.0,25.3,44.0,7.6,31
2019,Russia,Europe,51.29,7266.2,43.8,100.9,49.0,RPG,PC,38,4978,83.7,48.8,0.37,0.64,0.0,25.3,47.0,13.5,488
2020,Russia,Europe,59.11,6463.7,54.0,143.9,86.0,Strategy,Console,10,1180,87.2,34.7,0.54,0.98,0.28,28.5,50.0,3.9,146
2021,Russia,Europe,68.13,9482.9,27.2,90.2,75.3,MOBA,Console,80,18240,72.2,54.1,0.63,1.3,0.54,27.0,53.0,13.8,484
2022,Russia,Europe,78.53,5018.7,16.7,54.4,51.9,Sports,Console,28,4396,92.5,45.2,0.68,0.82,0.0,31.8,56.0,5.1,349
2023,Russia,Europe,90.51,4961.5,22.9,78.1,90.0,MOBA,Mobile,45,6660,84.7,25.2,0.77,0.88,0.0,34.1,59.0,11.9,464
2024,Russia,Europe,104.32,13792.6,51.3,98.7,108.9,FPS,PC,79,8137,83.9,27.7,0.8,0.94,0.0,36.2,62.0,29.2,402
2025,Russia,Europe,120.23,14892.2,20.3,56.6,77.4,Sports,PC,108,11124,62.9,52.6,0.92,1.0,0.0,33.2,65.0,21.6,322
2010,Spain,Europe,12.53,1488.2,16.0,53.3,130.6,RPG,PC,85,12665,83.1,49.8,0.05,0.1,0.0,10.2,20.0,32.9,277
2011,Spain,Europe,15.11,1456.9,57.9,146.9,111.3,FPS,Mobile,88,14784,88.6,68.2,0.1,0.16,0.0,11.7,23.0,30.2,179
2012,Spain,Europe,18.23,1130.7,17.4,26.7,65.2,Sports,PC,37,3848,66.7,25.1,0.13,0.22,0.0,14.5,26.0,10.3,52
2013,Spain,Europe,21.99,3033.5,41.2,106.8,129.6,Strategy,Mobile,91,24206,56.9,92.5,0.13,0.28,0.0,19.0,29.0,20.3,422
2014,Spain,Europe,26.53,2611.1,45.4,111.0,36.9,Strategy,Mobile,94,14382,79.0,67.1,0.06,0.34,0.0,15.1,32.0,36.3,287
2015,Spain,Europe,32.01,2227.4,10.2,27.9,123.8,Strategy,Console,49,6468,57.4,73.2,0.04,0.4,0.0,17.1,35.0,9.2,330
2016,Spain,Europe,38.62,3052.7,29.3,96.0,114.9,Strategy,PC,118,8850,70.1,35.1,0.21,0.46,0.0,19.5,38.0,22.0,443
2017,Spain,Europe,46.59,3979.8,57.0,195.4,104.5,MOBA,Mobile,66,8910,69.5,28.3,0.31,0.52,0.0,20.1,41.0,22.5,487
2018,Spain,Europe,56.2,7855.4,41.1,72.9,149.4,Sports,Mobile,54,3240,54.9,72.7,0.34,0.58,0.0,25.6,44.0,13.4,261
2019,Spain,Europe,67.8,5150.0,27.3,73.5,38.8,Sports,Console,86,17458,82.9,51.6,0.42,0.64,0.0,25.7,47.0,13.2,282
2020,Spain,Europe,81.8,10284.7,11.4,27.9,116.2,FPS,Console,115,16445,93.2,82.3,0.52,1.28,0.58,26.7,50.0,35.7,102
2021,Spain,Europe,98.68,7190.8,38.8,75.4,68.6,RPG,Mobile,70,7280,69.3,27.2,0.61,1.16,0.4,27.9,53.0,23.3,460
2022,Spain,Europe,119.05,11685.4,38.9,65.3,33.9,MOBA,Mobile,103,16686,78.0,99.4,0.83,0.82,0.0,27.1,56.0,26.9,358
2023,Spain,Europe,143.62,16611.9,15.9,30.0,140.2,FPS,PC,91,5369,60.3,96.7,0.64,0.88,0.0,33.5,59.0,32.8,287
2024,Spain,Europe,173.27,25131.8,35.7,84.8,99.6,RPG,PC,103,12875,65.9,92.1,0.8,0.94,0.0,34.7,62.0,35.0,336
2025,Spain,Europe,209.03,26402.9,49.7,163.0,95.3,RPG,Console,113,30510,51.5,72.7,0.88,1.0,0.0,37.2,65.0,24.2,484
2010,Italy,Europe,1.97,257.7,50.5,109.3,113.2,RPG,Mobile,28,2044,89.4,65.4,-0.03,0.1,0.0,10.4,20.0,8.8,257
2011,Italy,Europe,2.43,217.1,33.7,86.4,100.9,FPS,Mobile,64,6592,59.0,40.3,0.12,0.16,0.0,11.3,23.0,15.4,94
2012,Italy,Europe,3.01,151.1,44.3,152.1,56.9,Strategy,Console,40,11520,77.4,92.2,0.05,0.22,0.0,11.8,26.0,10.2,366
2013,Italy,Europe,3.73,254.4,23.5,77.7,126.8,Strategy,Mobile,43,2795,76.6,74.6,0.14,0.28,0.0,16.2,29.0,14.6,68
2014,Italy,Europe,4.62,240.6,17.6,44.6,62.3,FPS,Console,100,5900,82.1,81.9,0.17,0.34,0.0,15.7,32.0,27.0,111
2015,Italy,Europe,5.72,384.5,58.4,140.0,49.1,FPS,Console,19,2755,81.3,79.7,0.14,0.4,0.0,20.3,35.0,3.3,135
2016,Italy,Europe,7.08,390.9,10.2,19.7,109.8,Sports,Console,7,910,69.6,66.2,0.17,0.46,0.0,19.9,38.0,2.3,346
2017,Italy,Europe,8.77,1128.1,44.6,101.2,33.0,FPS,Mobile,39,10959,87.9,32.3,0.21,0.52,0.0,20.9,41.0,13.6,225
2018,Italy,Europe,10.86,1136.4,58.1,93.1,90.6,Strategy,Mobile,31,3999,74.9,54.7,0.38,0.58,0.0,24.5,44.0,11.3,388
2019,Italy,Europe,13.45,1582.8,38.3,81.6,128.0,RPG,Mobile,61,16958,87.5,93.0,0.43,0.64,0.0,25.5,47.0,10.2,219
2020,Italy,Europe,16.65,865.4,24.7,46.4,79.4,Sports,Mobile,10,1460,77.2,43.5,0.48,1.0,0.3,25.8,50.0,2.6,42
2021,Italy,Europe,20.61,1715.9,5.3,11.9,143.3,RPG,Mobile,17,2261,77.0,99.3,0.67,1.07,0.31,27.0,53.0,5.4,289
2022,Italy,Europe,25.52,3778.2,5.9,15.0,51.5,FPS,PC,10,1070,58.5,68.7,0.63,0.82,0.0,26.7,56.0,1.8,442
2023,Italy,Europe,31.6,2415.1,13.9,34.3,62.2,MOBA,Console,28,3444,76.8,37.9,0.68,0.88,0.0,28.3,59.0,9.0,239
2024,Italy,Europe,39.13,4678.7,28.6,48.1,96.4,RPG,Mobile,57,4731,70.3,75.4,0.81,0.94,0.0,31.9,62.0,18.6,335
2025,Italy,Europe,48.44,5317.6,52.2,177.3,42.7,RPG,PC,14,1428,59.1,69.1,0.84,1.0,0.0,33.2,65.0,5.4,107
2010,Australia,Oceania,6.23,894.8,33.4,113.0,56.5,FPS,Mobile,77,22022,50.4,57.5,0.03,0.1,0.0,13.1,20.0,23.4,428
2011,Australia,Oceania,6.6,869.9,31.7,75.4,149.6,FPS,Mobile,96,6336,81.5,40.3,0.12,0.16,0.0,12.3,23.0,27.5,48
2012,Australia,Oceania,7.0,867.2,2.8,5.6,55.7,RPG,PC,73,6716,69.1,41.2,0.11,0.22,0.0,12.9,26.0,15.5,170
2013,Australia,Oceania,7.42,1077.3,50.6,157.5,128.8,RPG,Mobile,63,7056,73.1,44.0,0.07,0.28,0.0,15.5,29.0,18.0,100
2014,Australia,Oceania,7.87,685.4,55.4,147.9,94.6,Strategy,PC,117,27729,51.6,84.1,0.06,0.34,0.0,16.7,32.0,28.3,267
2015,Australia,Oceania,8.34,1005.4,26.8,63.9,107.9,MOBA,Console,41,5248,63.2,58.3,0.03,0.4,0.0,19.7,35.0,6.8,194
2016,Australia,Oceania,8.84,802.5,29.2,45.5,55.2,MOBA,PC,5,520,61.7,37.0,0.2,0.46,0.0,17.4,38.0,1.6,422
2017,Australia,Oceania,9.37,1231.8,41.7,71.8,64.7,MOBA,Console,72,13608,61.5,80.7,0.3,0.52,0.0,22.3,41.0,15.3,387
2018,Australia,Oceania,9.94,802.7,55.0,187.3,69.2,FPS,PC,110,24860,54.6,54.5,0.36,0.58,0.0,24.4,44.0,30.4,118
2019,Australia,Oceania,10.53,1431.4,41.3,131.0,133.1,FPS,PC,71,14697,70.7,55.8,0.35,0.64,0.0,25.0,47.0,18.4,169
2020,Australia,Oceania,11.17,742.9,2.1,6.2,117.9,FPS,Mobile,22,3146,50.9,37.4,0.48,1.18,0.48,26.1,50.0,4.2,435
2021,Australia,Oceania,11.84,1281.0,8.9,17.1,67.3,RPG,Mobile,43,12728,59.9,97.0,0.6,1.31,0.55,26.6,53.0,9.1,81
2022,Australia,Oceania,12.55,1573.5,52.5,150.2,79.4,MOBA,Console,110,26620,74.6,68.2,0.66,0.82,0.0,30.4,56.0,22.1,102
2023,Australia,Oceania,13.3,1470.9,8.8,19.1,47.1,Strategy,Mobile,30,1980,90.3,40.3,0.69,0.88,0.0,31.8,59.0,6.0,314
2024,Australia,Oceania,14.1,1654.6,25.7,84.0,56.6,Sports,PC,30,5190,74.1,87.7,0.87,0.94,0.0,34.0,62.0,11.1,95
2025,Australia,Oceania,14.95,1246.3,47.9,115.1,52.0,RPG,Console,70,15260,53.4,54.1,0.9,1.0,0.0,37.4,65.0,25.9,241
2010,Mexico,North America,1.22,151.3,51.2,132.6,147.8,Sports,PC,86,9890,75.2,49.1,0.03,0.1,0.0,9.8,20.0,23.9,348
2011,Mexico,North America,1.35,149.2,43.0,96.7,74.3,RPG,Mobile,79,13509,59.8,74.6,0.11,0.16,0.0,11.1,23.0,18.8,58
2012,Mexico,North America,1.49,88.7,8.0,12.8,99.7,Strategy,Mobile,77,23023,86.1,63.9,0.17,0.22,0.0,10.6,26.0,22.1,218
2013,Mexico,North America,1.65,191.5,22.1,50.5,49.0,Strategy,Mobile,20,5280,90.0,68.4,0.06,0.28,0.0,18.0,29.0,6.0,479
2014,Mexico,North America,1.82,166.7,43.3,98.5,100.6,MOBA,Mobile,61,5429,89.1,79.3,0.06,0.34,0.0,18.8,32.0,18.3,404
2015,Mexico,North America,2.02,266.5,40.3,124.5,62.6,RPG,Mobile,42,12516,60.1,64.7,0.05,0.4,0.0,21.4,35.0,9.1,489
2016,Mexico,North America,2.23,160.3,36.5,74.1,109.4,Sports,Mobile,83,21248,81.5,52.6,0.21,0.46,0.0,18.1,38.0,28.6,37
2017,Mexico,North America,2.47,188.5,26.1,85.5,128.9,FPS,Mobile,64,10816,90.0,49.4,0.25,0.52,0.0,18.7,41.0,23.3,422
2018,Mexico,North America,2.73,162.2,45.4,141.8,114.8,Sports,Console,42,9450,92.0,85.1,0.43,0.58,0.0,21.9,44.0,15.0,70
2019,Mexico,North America,3.02,157.7,22.9,70.3,97.9,MOBA,PC,52,15288,84.3,27.9,0.37,0.64,0.0,24.5,47.0,10.8,216
2020,Mexico,North America,3.34,297.3,6.0,16.7,118.0,FPS,Console,70,8610,89.1,53.4,0.41,1.1,0.4,23.6,50.0,12.9,491
2021,Mexico,North America,3.69,552.4,58.9,164.9,126.5,RPG,Console,88,18920,87.5,52.2,0.51,1.1,0.34,28.6,53.0,26.2,191
2022,Mexico,North America,4.09,272.6,31.0,89.4,113.7,RPG,PC,109,25179,78.6,69.9,0.69,0.82,0.0,29.7,56.0,23.9,152
2023,Mexico,North America,4.52,654.7,5.5,15.8,33.0,Sports,Mobile,63,5796,91.0,72.9,0.67,0.88,0.0,36.1,59.0,16.6,99
2024,Mexico,North America,5.0,536.2,18.1,60.4,100.0,Sports,PC,76,11932,69.1,31.3,0.76,0.94,0.0,32.7,62.0,18.1,137
2025,Mexico,North America,5.53,658.4,36.6,91.6,147.1,FPS,Console,60,13500,59.0,41.2,0.83,1.0,0.0,36.3,65.0,14.6,474
2010,Sweden,Europe,9.72,546.5,21.4,35.0,147.0,Strategy,Console,53,3498,74.8,84.2,0.16,0.1,0.0,9.8,20.0,19.2,80
2011,Sweden,Europe,12.09,1172.1,17.6,29.9,50.1,FPS,Console,105,13965,85.9,49.5,0.07,0.16,0.0,10.3,23.0,41.3,401
2012,Sweden,Europe,15.05,1285.1,19.5,67.4,50.4,MOBA,Console,8,2176,63.6,67.3,0.08,0.22,0.0,15.5,26.0,2.8,105
2013,Sweden,Europe,18.74,2399.3,19.6,41.6,30.4,FPS,Console,64,15296,94.3,54.7,0.1,0.28,0.0,12.6,29.0,23.6,448
2014,Sweden,Europe,23.32,2235.2,44.1,116.7,110.1,Strategy,PC,44,8536,84.4,95.5,0.09,0.34,0.0,15.4,32.0,16.1,227
2015,Sweden,Europe,29.03,3604.2,30.6,75.4,130.6,MOBA,Console,75,22350,81.4,56.2,0.1,0.4,0.0,15.5,35.0,27.4,233
2016,Sweden,Europe,36.13,5244.0,12.2,32.1,99.5,Sports,Console,94,5922,92.0,80.6,0.17,0.46,0.0,19.4,38.0,29.3,196
2017,Sweden,Europe,44.97,3081.6,18.2,35.2,51.9,Strategy,Mobile,102,26214,93.6,67.8,0.27,0.52,0.0,19.5,41.0,22.6,194
2018,Sweden,Europe,55.97,8053.9,53.9,117.1,117.5,FPS,Console,97,11446,59.9,41.4,0.31,0.58,0.0,24.9,44.0,18.8,259
2019,Sweden,Europe,69.67,8720.2,38.2,103.1,36.4,FPS,PC,81,10530,65.8,32.0,0.55,0.64,0.0,26.2,47.0,15.2,67
2020,Sweden,Europe,86.71,11149.8,36.2,54.8,122.7,MOBA,Console,65,4225,76.9,100.0,0.54,0.99,0.29,27.0,50.0,19.7,105
2021,Sweden,Europe,107.93,12675.4,46.2,73.6,107.6,Sports,Mobile,87,14355,84.8,34.3,0.57,1.11,0.35,32.0,53.0,27.6,393
2022,Sweden,Europe,134.34,12603.4,50.7,92.3,33.0,Sports,PC,102,26214,84.8,93.6,0.66,0.82,0.0,29.0,56.0,21.4,401
2023,Sweden,Europe,167.21,14710.2,48.5,110.7,120.1,MOBA,PC,47,6768,88.5,87.6,0.7,0.88,0.0,30.6,59.0,16.1,65
2024,Sweden,Europe,208.12,10804.7,50.0,127.4,123.0,FPS,PC,103,16892,93.3,75.1,0.79,0.94,0.0,33.0,62.0,24.3,348
2025,Sweden,Europe,259.04,29877.6,13.2,27.5,104.4,MOBA,PC,41,6724,62.7,97.3,0.96,1.0,0.0,38.4,65.0,11.3,317
2010,Netherlands,Europe,10.49,1358.4,18.1,32.4,67.6,FPS,Console,32,5696,94.3,95.4,0.06,0.1,0.0,6.1,20.0,5.5,379
2011,Netherlands,Europe,12.16,1784.9,27.9,69.9,59.6,MOBA,Console,110,13420,90.7,86.3,0.05,0.16,0.0,12.3,23.0,37.2,451
2012,Netherlands,Europe,14.09,1055.7,43.6,140.0,72.8,FPS,Mobile,16,4224,58.6,38.8,0.16,0.22,0.0,13.1,26.0,3.6,387
2013,Netherlands,Europe,16.32,2158.4,12.1,29.8,44.0,Sports,Console,19,5681,69.5,37.3,0.15,0.28,0.0,15.6,29.0,4.3,386
2014,Netherlands,Europe,18.91,1031.0,14.6,22.4,99.8,RPG,Mobile,25,6725,75.2,95.7,0.02,0.34,0.0,14.2,32.0,9.2,209
2015,Netherlands,Europe,21.91,1324.2,35.5,86.1,44.2,FPS,Console,113,17063,76.8,80.4,0.12,0.4,0.0,19.3,35.0,23.0,197
2016,Netherlands,Europe,25.38,1835.3,52.6,162.1,119.8,Sports,Mobile,68,16184,85.7,27.4,0.23,0.46,0.0,20.6,38.0,14.4,195
2017,Netherlands,Europe,29.41,1618.5,5.1,14.6,85.0,FPS,PC,44,6600,76.0,51.9,0.16,0.52,0.0,19.9,41.0,13.4,414
2018,Netherlands,Europe,34.07,4756.1,48.0,87.3,36.2,FPS,Mobile,94,17860,91.1,67.4,0.33,0.58,0.0,23.6,44.0,16.1,23
2019,Netherlands,Europe,39.48,5225.2,24.3,58.8,66.4,MOBA,PC,39,4251,68.9,70.1,0.48,0.64,0.0,24.1,47.0,7.0,312
2020,Netherlands,Europe,45.74,5289.2,58.3,153.1,115.8,RPG,Console,17,3128,92.2,74.6,0.44,1.09,0.39,26.0,50.0,4.3,346
2021,Netherlands,Europe,52.99,7631.8,4.7,10.1,82.6,RPG,PC,75,11700,73.9,65.3,0.62,1.22,0.46,26.2,53.0,29.3,430
2022,Netherlands,Europe,61.4,4185.9,11.1,35.0,35.0,Strategy,Mobile,49,6811,75.1,42.4,0.65,0.82,0.0,28.6,56.0,9.4,289
2023,Netherlands,Europe,71.13,3913.9,28.9,65.4,68.0,MOBA,Mobile,84,23184,80.5,57.1,0.78,0.88,0.0,30.7,59.0,14.5,69
2024,Netherlands,Europe,82.42,9544.3,2.5,8.4,58.5,MOBA,Mobile,112,5936,61.2,66.1,0.87,0.94,0.0,33.1,62.0,38.3,466
2025,Netherlands,Europe,95.49,7879.8,4.3,8.7,30.8,Sports,PC,21,3045,82.8,50.9,0.93,1.0,0.0,31.5,65.0,8.2,223
2010,South Africa,Africa,12.49,1397.6,28.4,86.8,149.7,MOBA,PC,80,10880,63.7,39.9,0.08,0.1,0.0,8.1,20.0,21.2,211
2011,South Africa,Africa,14.21,1147.1,33.7,78.7,49.2,FPS,Mobile,113,33561,90.4,31.3,0.04,0.16,0.0,12.8,23.0,28.8,323
2012,South Africa,Africa,16.17,893.4,11.3,24.4,39.2,Strategy,Console,79,4740,56.1,42.4,0.15,0.22,0.0,12.2,26.0,28.2,73
2013,South Africa,Africa,18.41,2499.6,44.4,150.7,123.8,MOBA,PC,111,24864,75.5,25.5,0.09,0.28,0.0,14.9,29.0,23.5,483
2014,South Africa,Africa,20.95,1616.2,54.4,122.5,96.0,RPG,PC,108,18684,60.0,48.8,0.15,0.34,0.0,14.6,32.0,27.7,301
2015,South Africa,Africa,23.84,1996.7,52.5,87.5,55.3,Sports,PC,78,9360,69.9,50.1,0.09,0.4,0.0,16.5,35.0,12.7,237
2016,South Africa,Africa,27.14,1943.6,14.1,29.5,139.3,Sports,Mobile,33,6501,68.4,76.0,0.21,0.46,0.0,23.7,38.0,11.0,462
2017,South Africa,Africa,30.88,2586.6,48.6,96.8,147.1,Sports,PC,104,7384,60.3,55.8,0.28,0.52,0.0,24.1,41.0,24.4,79
2018,South Africa,Africa,35.15,2253.4,33.6,57.6,35.4,MOBA,PC,91,15925,94.5,27.3,0.35,0.58,0.0,24.1,44.0,25.8,146
2019,South Africa,Africa,40.0,5464.9,18.8,45.8,104.3,FPS,Mobile,14,2506,51.1,57.2,0.46,0.64,0.0,28.7,47.0,4.3,97
2020,South Africa,Africa,45.53,2350.2,49.5,78.2,136.8,Sports,PC,96,26208,84.4,44.0,0.57,1.23,0.53,27.3,50.0,21.5,289
2021,South Africa,Africa,51.82,3074.1,57.9,102.5,48.2,FPS,Mobile,31,5022,75.9,57.2,0.57,1.16,0.4,27.8,53.0,12.0,175
2022,South Africa,Africa,58.97,4858.3,40.3,113.1,60.1,Sports,Mobile,84,24024,52.0,80.1,0.69,0.82,0.0,29.9,56.0,25.3,171
2023,South Africa,Africa,67.12,6117.0,9.3,14.5,104.7,Sports,Mobile,102,22950,69.2,66.1,0.76,0.88,0.0,29.2,59.0,16.0,417
2024,South Africa,Africa,76.39,9972.7,25.1,78.0,101.0,Strategy,Mobile,88,15312,74.6,88.0,0.93,0.94,0.0,33.1,62.0,13.7,225
2025,South Africa,Africa,86.94,7881.8,10.3,30.2,65.2,Sports,PC,82,14432,63.9,87.8,0.93,1.0,0.0,34.5,65.0,26.6,157
2010,Saudi Arabia,Middle East,14.24,1614.7,36.4,55.8,117.5,Strategy,Console,20,2600,55.7,86.0,0.13,0.1,0.0,7.7,20.0,6.3,410
2011,Saudi Arabia,Middle East,15.8,1425.0,44.3,135.5,44.2,FPS,Console,101,29694,56.7,31.9,0.06,0.16,0.0,12.2,23.0,33.1,297
2012,Saudi Arabia,Middle East,17.52,1025.2,33.8,76.5,102.9,FPS,Console,95,13110,53.6,87.2,0.13,0.22,0.0,18.9,26.0,23.5,63
2013,Saudi Arabia,Middle East,19.44,2669.6,59.7,159.2,127.5,FPS,Mobile,62,14260,80.3,76.2,0.17,0.28,0.0,10.0,29.0,14.0,38
2014,Saudi Arabia,Middle East,21.56,2669.8,40.7,70.7,98.7,RPG,Mobile,24,2928,94.8,31.9,0.05,0.34,0.0,19.5,32.0,8.4,180
2015,Saudi Arabia,Middle East,23.91,2671.0,51.3,97.1,45.1,MOBA,Console,46,6394,76.4,65.6,0.08,0.4,0.0,14.9,35.0,8.1,29
2016,Saudi Arabia,Middle East,26.52,3913.0,29.5,48.2,35.8,MOBA,Console,46,9384,62.2,54.9,0.23,0.46,0.0,20.9,38.0,17.6,381
2017,Saudi Arabia,Middle East,29.42,4112.1,49.0,130.6,117.6,Sports,PC,11,660,81.5,82.8,0.31,0.52,0.0,18.6,41.0,4.1,149
2018,Saudi Arabia,Middle East,32.63,1699.6,20.3,32.8,122.0,Sports,Console,58,13572,91.9,75.7,0.38,0.58,0.0,22.8,44.0,22.7,131
2019,Saudi Arabia,Middle East,36.19,2717.3,9.0,24.0,146.3,RPG,PC,30,6060,72.8,37.1,0.45,0.64,0.0,24.7,47.0,5.0,295
2020,Saudi Arabia,Middle East,40.14,2007.7,37.6,102.8,84.9,MOBA,Console,42,4746,79.2,96.6,0.52,1.1,0.4,26.6,50.0,14.8,178
2021,Saudi Arabia,Middle East,44.52,2721.1,52.4,109.7,49.5,Sports,Console,64,13504,81.4,41.1,0.59,1.03,0.27,24.9,53.0,10.2,80
2022,Saudi Arabia,Middle East,49.38,5318.2,22.0,68.5,94.8,FPS,Mobile,47,3572,57.7,90.9,0.71,0.82,0.0,30.5,56.0,14.0,364
2023,Saudi Arabia,Middle East,54.77,6001.1,6.7,22.6,120.6,RPG,Mobile,43,12126,78.4,87.1,0.73,0.88,0.0,29.4,59.0,15.4,27
2024,Saudi Arabia,Middle East,60.75,7159.3,20.7,72.1,69.1,RPG,PC,10,1190,69.0,99.7,0.77,0.94,0.0,32.1,62.0,3.0,39
2025,Saudi Arabia,Middle East,67.38,8824.8,57.1,88.2,147.9,FPS,Console,25,3125,55.9,58.0,0.89,1.0,0.0,39.1,65.0,8.8,189
2010,Argentina,South America,1.34,128.3,45.6,151.1,130.2,RPG,Mobile,99,16929,61.9,62.8,0.09,0.1,0.0,9.5,20.0,25.8,481
2011,Argentina,South America,1.44,162.4,47.5,128.1,79.7,Sports,Console,20,2880,78.2,67.9,0.16,0.16,0.0,12.1,23.0,5.7,438
2012,Argentina,South America,1.54,198.4,18.4,58.5,95.2,RPG,Console,19,4712,83.4,43.3,0.12,0.22,0.0,14.2,26.0,4.9,44
2013,Argentina,South America,1.65,167.3,30.0,68.0,130.7,Strategy,Console,88,19712,53.2,68.0,0.09,0.28,0.0,13.9,29.0,24.3,342
2014,Argentina,South America,1.77,251.6,47.1,148.2,138.3,MOBA,Console,117,32526,76.5,59.1,0.07,0.34,0.0,16.0,32.0,30.7,378
2015,Argentina,South America,1.91,163.5,59.4,170.4,143.9,Sports,Mobile,22,5258,80.3,37.7,0.02,0.4,0.0,18.6,35.0,5.4,101
2016,Argentina,South America,2.04,202.3,26.1,40.4,70.2,RPG,Mobile,50,14900,77.0,79.6,0.12,0.46,0.0,23.5,38.0,8.7,441
2017,Argentina,South America,2.19,146.9,5.0,13.6,54.9,Sports,Console,78,23088,69.7,72.1,0.26,0.52,0.0,19.6,41.0,13.9,448
